"Forsikrings- og pensionssektorens valutaeksponering og -afdækning efter"
"valuta, værdier og tid"

" ";" ";"2015M01";"2015M02";"2015M03";"2015M04";"2015M05";"2015M06";"2015M07";"2015M08";"2015M09";"2015M10";"2015M11";"2015M12";"2016M01";"2016M02";"2016M03";"2016M04";"2016M05";"2016M06";"2016M07";"2016M08";"2016M09";"2016M10";"2016M11";"2016M12";"2017M01";"2017M02";"2017M03";"2017M04";"2017M05";"2017M06";"2017M07";"2017M08";"2017M09";"2017M10";"2017M11";"2017M12";"2018M01";"2018M02";"2018M03";"2018M04";"2018M05";"2018M06";"2018M07";"2018M08";"2018M09";"2018M10";"2018M11";"2018M12";"2019M01";"2019M02";"2019M03";"2019M04";"2019M05";"2019M06";"2019M07";"2019M08";"2019M09";"2019M10";"2019M11";"2019M12";"2020M01";"2020M02";"2020M03";"2020M04";"2020M05";"2020M06";"2020M07";"2020M08";"2020M09";"2020M10";"2020M11";"2020M12";"2021M01";"2021M02";"2021M03";"2021M04";"2021M05";"2021M06";"2021M07";"2021M08";"2021M09";"2021M10";"2021M11";"2021M12";"2022M01";"2022M02";"2022M03";"2022M04";"2022M05";"2022M06";"2022M07";"2022M08";"2022M09";"2022M10";"2022M11";"2022M12";"2023M01";"2023M02";"2023M03";"2023M04";"2023M05";"2023M06";"2023M07";"2023M08";"2023M09";"2023M10";"2023M11";"2023M12";"2024M01";"2024M02";"2024M03";"2024M04";"2024M05";"2024M06";"2024M07";"2024M08";"2024M09";"2024M10";"2024M11";"2024M12";"2025M01";"2025M02";"2025M03";"2025M04";"2025M05";"2025M06";"2025M07";"2025M08";"2025M09";"2025M10";"2025M11";"2025M12";"2026M01";"2026M02";"2026M03";"2026M04";"2026M05";"2026M06";"2026M07"
"EUR"
" ";"1. Valutaeksponering i alt";862.72;860.90;910.08;904.37;867.47;811.48;824.22;831.00;841.31;846.48;864.89;887.14;933.73;961.99;975.47;979.42;985.69;1032.08;1036.11;1026.01;1038.59;1002.59;959.12;974.81;954.71;977.47;979.59;982.95;1018.09;1041.20;1048.46;1070.69;1056.85;1076.77;1089.88;1103.82;1104.06;1073.84;1086.68;1081.21;1063.19;1088.02;1084.58;1106.33;1115.17;1096.79;1099.58;1091.82;1151.38;1156.51;1180.56;1197.85;1165.29;1229.97;1304.54;1354.01;1391.62;1379.13;1415.15;1418.14;1505.25;1510.62;1363.56;1437.70;1425.63;1457.93;1501.37;1453.84;1498.20;1488.03;1543.69;1562.71;1555.26;1522.59;1574.85;1605.65;1641.22;1656.78;1723.49;1725.07;1697.47;1731.91;1741.50;1741.10;1699.15;1649.94;1633.83;1570.58;1547.45;1492.49;1579.17;1524.83;1421.42;1435.65;1524.29;1493.99;1573.97;1567.31;1582.88;1587.64;1588.86;1599.59;1635.09;1622.40;1600.70;1590.69;1660.57;1746.10;1732.96;1742.47;1764.31;1737.63;1745.33;1768.99;1788.94;1790.48;1815.22;1824.86;1897.83;1870.00;1866.15;1883.02;1869.47;1920.18;1967.70;1966.07;1956.34;1950.20;2008.88;2088.33;2096.44;2049.77;2080.03;2077.70;1969.64;2037.12;2115.21;2096.76;2084.43
" ";"1.1. Afdækket valutaeksponering";209.67;220.48;220.72;233.84;230.28;237.06;208.18;201.36;199.60;205.27;204.92;239.39;261.52;284.05;285.57;300.03;309.74;310.49;312.55;321.80;338.57;326.51;343.61;338.93;326.62;314.31;345.73;330.93;348.93;391.31;391.83;387.92;388.67;400.06;413.36;426.17;407.14;422.39;434.42;440.06;440.77;440.42;436.59;442.43;450.89;459.52;470.20;495.57;493.69;484.88;491.88;482.06;468.82;507.21;537.56;540.40;547.52;549.58;566.18;561.78;555.37;564.69;565.86;562.35;554.99;571.43;568.74;551.61;569.57;559.03;562.92;572.08;591.39;600.63;649.35;657.61;647.88;648.79;659.97;653.33;661.63;641.80;635.45;650.21;653.18;657.71;646.05;635.69;638.40;635.32;656.07;643.66;629.92;614.22;617.44;621.12;619.30;619.49;623.61;631.88;643.87;644.34;652.71;645.09;654.03;688.01;681.80;662.63;667.93;679.26;676.23;693.42;684.02;679.57;685.21;675.54;664.86;665.36;697.93;723.34;725.72;707.93;731.87;731.76;719.17;723.19;719.17;709.17;718.86;735.53;754.52;767.77;778.92;769.81;765.64;766.07;793.57;823.66;826.98
" ";"1.1.1. Afdækket til kroner";205.03;218.04;216.73;229.87;223.93;218.44;201.97;190.39;196.63;202.39;203.18;237.19;259.31;281.40;283.34;298.10;307.39;303.07;305.17;313.68;336.58;323.18;339.94;335.31;324.59;312.84;342.82;326.10;340.54;373.97;376.38;367.21;370.75;381.81;392.76;414.82;394.36;407.72;421.20;427.85;427.89;425.83;422.27;428.06;439.12;431.39;442.65;468.01;462.91;454.51;461.76;453.35;432.54;471.01;501.55;504.72;511.66;514.73;531.18;527.17;541.61;548.15;551.77;548.45;540.28;556.38;552.37;535.50;551.83;541.77;545.46;554.30;567.75;579.54;631.21;640.46;634.67;635.29;646.52;644.62;653.74;634.29;629.27;644.89;648.07;652.33;639.83;627.50;631.48;625.30;646.10;636.48;622.18;606.59;609.60;611.84;609.92;610.62;614.98;622.91;635.94;635.41;643.75;638.20;646.67;680.12;675.06;655.47;654.39;668.31;664.31;681.59;671.72;666.21;671.44;660.74;654.97;656.01;688.67;714.97;717.53;694.87;723.88;724.82;711.85;715.27;710.92;700.96;709.75;726.19;745.67;758.94;770.59;761.44;756.90;757.70;779.58;807.92;809.26
" ";"1.1.2. Afdækket til euro";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
" ";"1.1.3. Afdækket til dollar";0.00;2.00;3.53;3.45;5.34;16.04;3.66;1.57;1.44;1.53;0.41;0.42;0.28;0.21;0.28;0.23;0.43;6.34;6.41;6.36;0.66;0.73;0.77;0.75;0.47;0.53;0.38;0.60;1.15;2.31;2.22;3.01;3.80;4.09;2.95;1.81;1.55;2.28;1.89;1.52;1.73;3.26;3.14;3.29;2.58;2.68;2.69;2.60;2.46;2.50;2.61;2.73;2.93;2.75;2.81;2.73;2.79;2.72;2.78;2.64;2.68;2.84;2.11;2.08;2.49;2.09;2.06;2.02;2.25;1.62;1.59;1.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.00;0.00;0.00;0.00;0.00;1.74;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;..;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;..;..;..
" ";"1.1.4. Afdækket til øvrige valutaer";4.64;0.44;0.47;0.52;1.01;2.58;2.54;9.40;1.53;1.34;1.32;1.78;1.92;2.44;1.94;1.70;1.92;1.08;0.97;1.76;1.33;2.60;2.90;2.86;1.57;0.94;2.53;4.23;7.24;15.03;13.23;17.71;14.13;14.15;17.64;9.55;11.23;12.39;11.34;10.68;11.15;11.33;11.18;11.08;9.19;25.45;24.86;24.96;28.32;27.87;27.51;25.98;33.35;33.44;33.21;32.95;33.07;32.12;32.22;31.98;11.08;13.69;11.99;11.82;12.22;12.96;14.31;14.09;15.49;15.64;15.87;16.24;23.65;21.09;18.13;17.15;13.21;13.50;13.45;8.71;7.83;7.51;6.18;5.32;5.11;5.38;6.22;6.44;6.92;10.02;9.97;7.18;7.74;7.63;7.84;9.28;9.38;8.88;8.62;8.97;7.93;8.93;8.96;6.89;7.36;7.89;6.75;7.16;13.54;10.95;11.92;11.82;12.30;13.36;13.77;14.80;9.88;9.35;9.26;..;8.19;13.05;7.99;6.94;7.32;7.92;8.25;8.21;9.11;9.35;8.86;8.83;8.32;8.37;8.74;8.37;..;..;..
"USD"
" ";"1. Valutaeksponering i alt";650.01;685.25;712.35;685.98;709.27;698.47;678.32;656.95;647.63;677.16;718.75;691.71;686.54;691.28;680.09;689.09;722.77;705.66;723.70;731.00;725.78;751.76;786.41;790.86;773.95;811.87;822.26;810.37;799.56;796.27;780.81;786.40;796.35;815.48;810.90;823.76;821.45;825.78;794.65;804.49;845.56;859.23;878.20;893.37;901.87;887.61;896.67;861.27;899.24;918.41;949.96;971.66;939.81;951.66;994.54;991.21;1017.38;1002.72;1036.99;1038.63;1037.63;1008.71;892.57;941.19;966.39;985.72;981.00;990.03;1012.13;1000.28;1048.99;1058.63;1078.01;1101.47;1164.54;1181.01;1193.20;1206.89;1236.22;1312.17;1291.50;1339.95;1334.63;1376.78;1299.04;1254.59;1290.83;1277.23;1256.71;1208.92;1305.55;1287.70;1225.44;1262.20;1268.14;1197.87;1244.19;1246.39;1238.86;1232.46;1270.82;1286.36;1311.30;1311.24;1304.94;1284.65;1339.77;1368.34;1414.73;1459.01;1509.45;1494.24;1502.18;1539.81;1552.15;1544.12;1560.44;1597.81;1721.92;1707.68;1729.48;1700.09;1572.88;1491.42;1580.74;1595.50;1667.46;1660.67;1699.79;1771.60;1772.80;1726.58;1719.70;1738.76;1705.15;1813.46;1887.53;1923.12;1916.06
" ";"1.1. Afdækket valutaeksponering";495.27;502.28;537.21;544.48;535.17;536.04;531.06;531.62;528.13;545.47;559.00;557.89;554.31;553.83;558.47;565.16;577.57;575.80;576.21;589.76;581.07;614.88;586.69;591.57;596.74;610.47;620.17;608.50;622.33;632.01;628.64;616.50;599.38;600.40;597.98;618.45;654.12;627.46;602.78;594.36;564.62;578.95;588.99;590.80;621.50;606.49;595.94;592.48;600.50;620.24;599.06;589.63;569.73;610.81;638.14;636.97;703.79;703.62;738.72;749.37;784.70;786.31;658.82;712.31;734.57;760.50;791.34;790.60;788.52;764.08;815.14;819.70;837.36;812.09;806.61;844.40;867.96;877.55;889.41;904.03;899.41;911.50;895.34;904.17;878.87;877.31;883.41;866.37;855.80;832.18;859.86;873.45;836.07;845.70;887.66;907.03;947.47;931.79;924.66;918.06;905.80;920.63;959.36;949.33;940.90;920.27;974.67;996.94;983.77;999.08;997.30;999.09;1006.73;1016.30;1015.79;1025.28;1053.79;1071.82;1080.21;1069.59;1067.98;1063.78;1066.85;1106.47;1162.58;1174.55;1178.05;1175.72;1224.22;1265.27;1253.94;1246.91;1246.80;1221.87;1159.99;1231.77;1252.97;1234.94;1231.30
