month,EURUSD,USDJPY,USDCHF,GBPUSD,USDDKK,EUR3M,JPY3M,CHF3M,GBP3M,DKK3M,EUR12M,JPY12M,CHF12M,DKK12M,EUBS3,EUBS5,JYBS3,JYBS5,SFBS3,SFBS5,BPBS3,BPBS5,DKBS3,DKBS5,USSO3,EUSWEC,JYSO3S,NDDUWI,LGTRTRUU,EURUSD basis swap 3m,EURUSD basis swap 5,USD OIS 3m,EUR OIS 3m
2010-01-31,1.3863,90.27,1.0606,1.5986,5.3707,-3.28,-3.65,-5.67,-10.4,65.26,-34.0,-37.02,-35.2,323.0,,,,,,,,,,,,0.3655,0.53,2680.472,190.9851,,,,
2010-02-28,1.3631,88.97,1.0735,1.5238,5.4608,-1.81,-4.33,-6.63,-9.06,66.69,-13.2,-35.0,-38.6,253.0,,,,,,,,,,,,0.3655,0.53,2718.258,191.4753,,,,
2010-03-31,1.351,93.47,1.0539,1.5184,5.5107,0.61,-4.94,-8.03,-8.25,39.08,1.13,-43.75,-42.55,141.35,,,,,,,,,,,,0.372,0.53,2886.601,188.5217,,,,
2010-04-30,1.3294,93.85,1.0776,1.5274,5.5982,2.95,-8.93,-12.79,-5.7,26.38,9.91,-60.65,-57.6,79.76,,,,,,,,,,,,0.438,0.53,2887.006,188.0702,,,,
2010-05-31,1.2306,91.27,1.1549,1.4538,6.0454,12.96,-13.76,-29.45,3.25,-59.13,50.7,-82.55,-149.86,-217.0,,,,,,,,,,,,0.397,0.54,2610.465,185.9364,,,,
2010-06-30,1.2238,88.43,1.0774,1.4945,6.0871,6.38,-14.01,-19.33,-0.65,-22.5,24.55,-70.25,-96.4,-91.0,,,,,,,,,,,,0.492,0.5,2520.962,189.2026,,,,
2010-07-31,1.3052,86.47,1.0412,1.5689,5.7096,-2.78,-7.38,-10.4,-6.72,1.87,-22.46,-41.5,-40.07,89.0,,,,,,,,,,,,0.5465,0.47,2725.344,196.1274,,,,
2010-08-31,1.268,84.2,1.0151,1.5348,5.8712,-1.99,-8.59,-8.59,-9.25,0.75,-8.55,-47.65,-43.5,34.0,,,,,,,,,,,,0.492,0.43,2623.593,199.9613,,,,
2010-09-30,1.3634,83.53,0.9825,1.5716,5.4659,-9.95,-9.0,-9.0,-10.05,19.9,-49.68,-47.2,-39.26,180.0,,,,,,,,,,,,0.706,0.4,2868.232,204.9613,,,,
2010-10-31,1.3947,80.4,0.9824,1.6038,5.3468,-17.2,-7.35,-6.83,-12.3,48.5,-88.6,-40.5,-28.08,347.0,,,,,,,,,,,,0.821,0.39,2975.147,207.8658,,,,
2010-11-30,1.2983,83.69,1.0034,1.5562,5.7411,-5.09,-11.06,-16.45,-8.91,-3.5,-11.9,-68.28,-80.91,63.3,,,,,,,,,,,,0.702,0.44,2910.915,198.1867,,,,
2010-12-31,1.3384,81.12,0.9352,1.5612,5.5684,-4.03,-7.97,-10.23,-11.08,19.48,-22.85,-47.93,-50.75,107.0,,,,,,,,,,,,0.6005,0.43,3124.941,201.7201,,,,
2011-01-31,1.3694,82.04,0.944,1.6014,5.4434,-15.27,-6.08,-8.15,-11.7,48.02,-90.61,-44.5,-38.4,362.25,,,,,,,,,,,,0.871,0.48,3195.54,201.6531,,,,
2011-02-28,1.3806,81.78,0.9289,1.6257,5.4011,-16.81,-5.6,-7.88,-16.25,47.6,-108.88,-39.5,-26.89,408.0,,,,,,,,,,,,0.848,0.51,3307.424,202.4045,,,,
2011-03-31,1.4158,83.13,0.919,1.6028,5.2663,-26.08,-5.03,-5.84,-20.7,89.53,-140.42,-41.4,-23.0,523.9,,,,,,,,,,,,1.024,0.45,3274.807,203.1104,,,,
2011-04-30,1.4807,81.19,0.8653,1.6707,5.0371,-38.5,-4.03,-4.25,-20.42,106.89,-186.3,-33.0,-5.51,610.05,,,,,,,,,,,,1.223,0.4,3413.929,209.8926,,,,
2011-05-31,1.4396,81.52,0.854,1.6448,5.1785,-33.98,-3.25,-5.2,-19.12,100.01,-159.46,-30.51,-23.0,544.33,-22.25,-17.5,-41.5,-48.75,-25.75,-30.0,3.25,3.8,-41.5,-35.5,0.845,1.154,0.42,3343.106,209.5041,,,,
2011-06-30,1.4502,80.56,0.8404,1.6053,5.1433,-37.84,-4.31,-5.42,-18.0,114.87,-161.28,-37.0,-31.5,535.0,-23.0,-20.0,-42.0,-47.8,-22.5,-26.8,2.75,3.75,-44.0,-38.0,0.881,1.345,0.43,3290.219,209.9323,,,,
2011-07-31,1.4398,76.76,0.7855,1.6426,5.1741,-32.38,-7.86,-10.36,-16.11,112.53,-126.37,-42.15,-41.22,395.5,-29.25,-24.0,-47.5,-52.0,-23.3,-27.5,0.75,1.25,-50.0,-41.0,0.514,1.248,0.39,3230.56,214.9518,,,,
2011-08-31,1.4369,76.66,0.806,1.625,5.1842,-15.15,-6.54,-22.98,-16.73,46.19,-60.13,-44.05,-87.65,168.92,-33.75,-26.75,-56.0,-61.375,-40.0,-39.0,-1.5,-1.5,-53.3,-43.5,0.275,0.901,0.35,3002.944,219.2547,,,,
2011-09-30,1.3387,77.06,0.9082,1.5584,5.5585,-4.22,-10.72,-17.46,-13.56,-7.57,-3.25,-53.5,-86.31,-116.0,-52.0,-39.25,-60.5,-66.0,-38.0,-38.0,-8.0,-7.425,-67.0,-52.5,0.313,0.742,0.38,2743.578,214.4509,,,,
2011-10-31,1.3858,78.17,0.877,1.6087,5.3695,-7.77,-13.88,-15.59,-15.57,39.45,-10.24,-61.82,-84.24,17.5,-47.5,-38.125,-67.0,-72.0,-48.0,-49.0,-4.0,-5.8,-65.0,-55.0,0.274,0.778,0.37,3027.365,215.8691,,,,
2011-11-30,1.3446,77.62,0.9132,1.5704,5.5305,10.6,-14.44,-22.07,-12.99,-75.0,42.23,-68.7,-98.96,-322.66,-65.75,-55.75,-81.0,-85.25,-60.0,-64.0,-12.0,-18.5,-78.0,-69.0,0.29,0.4895,0.42,2953.45,212.7281,,,,
2011-12-31,1.2961,76.91,0.9381,1.5543,5.734,11.18,-13.22,-18.52,-13.6,-64.89,76.37,-70.5,-99.16,-438.5,-78.5,-66.75,-85.75,-94.125,-49.5,-55.0,-4.75,-9.0,-79.0,-70.0,0.309,0.391,0.39,2951.809,214.4933,,,,
2012-01-31,1.3084,76.27,0.9202,1.576,5.6818,4.41,-8.56,-14.29,-11.77,-45.32,33.32,-47.75,-71.63,-229.0,-54.5,-47.75,-65.0,-78.0,-41.8,-50.5,-3.0,-2.25,-64.4,-57.0,0.211,0.361,0.37,3099.94,217.8945,,,,
2012-02-29,1.3325,81.15,0.9044,1.5917,5.5798,6.16,-6.98,-10.19,-11.24,-37.48,35.05,-46.4,-64.61,-208.6,-45.75,-37.0,-59.0,-72.0,-37.5,-41.0,-6.0,-2.0,-60.0,-49.5,0.326,0.3465,0.36,3251.368,215.7969,,,,
2012-03-31,1.3343,82.87,0.9025,1.6008,5.5765,6.62,-6.96,-10.13,-9.79,-40.99,32.1,-44.1,-52.37,-179.5,-42.5,-37.0,-55.25,-67.0,-34.0,-38.0,-7.25,-1.25,-60.0,-50.0,0.394,0.3605,0.39,3293.169,213.4598,,,,
2012-04-30,1.3239,79.82,0.9075,1.6234,5.6194,7.14,-7.17,-10.94,-8.93,-42.0,54.76,-48.55,-61.5,-273.5,-49.75,-42.0,-59.52,-73.5,-38.5,-44.25,-9.25,-2.5,-67.0,-57.0,0.294,0.3125,0.35,3255.772,216.7447,,,,
2012-05-31,1.2365,78.32,0.9713,1.5405,6.0096,9.84,-8.41,-18.71,-6.57,-108.5,81.83,-58.8,-112.71,-590.0,-68.0,-62.0,-74.25,-90.75,-55.0,-61.0,-16.8,-15.3,-89.5,-75.0,0.251,0.272,0.35,2974.721,215.3898,,,,
2012-06-30,1.2667,79.79,0.9485,1.5707,5.8691,11.44,-10.06,-22.63,-3.81,-146.62,60.17,-51.25,-102.04,-562.25,-51.25,-49.15,-64.3,-80.75,-54.0,-55.0,-8.75,-7.3,-75.5,-68.5,0.29,0.239,0.34,3126.299,215.6597,,,,
2012-07-31,1.2304,78.12,0.9764,1.5678,6.0484,14.44,-8.2,-24.95,-0.24,-139.5,64.51,-42.65,-114.15,-551.75,-46.25,-43.25,-59.5,-75.375,-58.5,-55.5,-11.75,-11.3,-67.0,-62.0,0.2,0.056,0.3,3166.489,218.0315,,,,
2012-08-31,1.2579,78.39,0.9549,1.5866,5.9237,13.59,-6.24,-16.77,-4.11,-131.26,61.07,-38.5,-91.58,-511.5,-44.3,-43.5,-57.5,-74.5,-57.0,-56.0,-11.75,-12.5,-64.0,-58.0,0.197,0.0685,0.31,3246.765,219.558,,,,
2012-09-30,1.286,77.96,0.9398,1.6167,5.797,13.11,-7.7,-15.88,-4.0,-120.0,51.56,-37.32,-67.11,-385.0,-30.75,-30.0,-50.75,-60.75,-43.0,-49.5,-5.8,-7.5,-52.0,-36.0,0.208,0.0855,0.28,3335.965,222.3805,,,,
2012-10-31,1.296,79.77,0.9315,1.6129,5.7558,12.15,-7.66,-14.1,-4.86,-102.0,46.35,-35.8,-66.46,-327.5,-28.5,-25.75,-53.0096,-68.0,-46.75,-51.0,-7.25,-9.0,-54.0,-48.0,0.259,0.0885,0.26,3313.422,220.9621,,,,
2012-11-30,1.2986,82.48,0.9281,1.6013,5.7442,11.95,-7.21,-12.41,-4.08,-103.08,53.22,-35.9,-62.73,-367.15,-33.5,-33.75,-50.0,-64.9992,-46.25,-52.5,-9.0,-11.0,-59.0,-54.5,0.211,0.064,0.24,3355.85,220.5164,,,,
2012-12-31,1.3193,86.75,0.9154,1.6255,5.6553,10.7,-6.41,-14.87,-4.8,-82.46,51.03,-32.4,-68.81,-336.18,-30.0,-30.5,-42.25,-58.0,-49.0,-55.5,-8.5,-10.25,-58.5,-56.5,0.254,0.067,0.22,3418.961,218.4275,,,,
2013-01-31,1.3579,91.71,0.91,1.5857,5.4944,6.4,-6.05,-9.36,-7.69,-46.0,17.35,-38.15,-44.55,-126.99,-21.3,-19.75,-42.375,-54.75,-32.5,-42.75,-5.75,-7.0,-40.0,-37.0,0.337,0.1395,0.21,3593.121,215.2758,,,,
2013-02-28,1.3057,92.56,0.9367,1.5163,5.7114,9.27,-6.17,-10.05,-6.96,-68.5,43.6,-37.95,-51.63,-274.2,-23.5,-22.0,-44.0,-54.5,-33.0,-41.0,-8.0,-10.5,-43.5,-38.5,0.268,0.0765,0.22,3599.054,212.6893,,,,
2013-03-31,1.2819,94.22,0.9492,1.5198,5.8162,8.52,-5.87,-11.25,-6.97,-76.0,44.78,-39.5,-63.75,-317.28,-30.5,-28.3,-44.0,-56.25,-39.5,-47.5,-12.5,-16.4,-52.0,-46.0,0.285,0.082,0.23,3683.356,212.0129,,,,
2013-04-30,1.3168,97.45,0.9293,1.5532,5.6622,8.47,-5.06,-9.33,-8.33,-55.46,40.43,-31.3,-47.5,-268.14,-26.75,-25.25,-44.3,-63.5,-33.0,-41.25,-9.75,-13.3,-44.5,-40.5,0.239,0.071,0.3,3799.348,214.1983,,,,
