month,ALL_eksp_total,ALL_afd_total,ALL_afd_dkk,ALL_afd_eur,ALL_afd_usd,ALL_afd_ovr,ALL_uafd_total,EUR_eksp_total,EUR_afd_total,EUR_afd_dkk,EUR_afd_eur,EUR_afd_usd,EUR_afd_ovr,EUR_uafd_total,USD_eksp_total,USD_afd_total,USD_afd_dkk,USD_afd_eur,USD_afd_usd,USD_afd_ovr,USD_uafd_total,USD_hedge_ratio,EUR_hedge_ratio,ALL_hedge_ratio
2015-01-31,1733.47,792.54,650.42,133.18,2.42,6.53,940.92,862.72,209.67,205.03,0.0,0.00,4.64,653.04,650.01,495.27,370.46,122.93,0.0,1.89,154.73,0.7619421239673235,0.24303366097922846,0.4571985670360606
2015-02-28,1772.45,817.73,665.5,143.52,5.05,3.66,954.72,860.9,220.48,218.04,0.0,2.00,0.44,640.43,685.25,502.28,372.72,126.34,0.0,3.22,182.97,0.7329879605983217,0.25610407712858635,0.46135575051482414
2015-03-31,1858.37,858.73,680.16,165.04,10.06,3.48,999.64,910.08,220.72,216.73,0.0,3.53,0.47,689.36,712.35,537.21,386.81,147.39,0.0,3.01,175.13,0.7541377132027796,0.24252812939521798,0.4620877435602168
2015-04-30,1823.23,889.74,696.26,176.91,10.08,6.5,933.49,904.37,233.84,229.87,0.0,3.45,0.52,670.52,685.98,544.48,383.61,154.89,0.0,5.98,141.5,0.793725764599551,0.2585667370655816,0.488002062274096
2015-05-31,1815.16,879.53,674.88,183.57,14.37,6.72,935.63,867.47,230.28,223.93,0.0,5.34,1.01,637.19,709.27,535.17,373.3,156.16,0.0,5.7,174.1,0.7545363542797524,0.26546162979699583,0.48454681680953743
2015-06-30,1751.47,882.59,661.07,190.04,22.62,8.87,868.87,811.48,237.06,218.44,0.0,16.04,2.58,574.42,698.47,536.04,365.35,164.4,0.0,6.28,162.43,0.767448852491875,0.2921328929856558,0.5039138552187591
2015-07-31,1745.02,847.41,634.89,191.68,11.59,9.25,897.61,824.22,208.18,201.97,0.0,3.66,2.54,616.05,678.32,531.06,357.6,166.75,0.0,6.7,147.27,0.7829048236820378,0.2525781951420737,0.48561621070245614
2015-08-31,1716.56,843.2,594.52,217.09,15.62,15.96,873.36,831.0,201.36,190.39,0.0,1.57,9.40,629.64,656.95,531.62,337.22,187.84,0.0,6.56,125.33,0.8092244463048938,0.24231046931407943,0.49121498811576647
2015-09-30,1710.51,833.07,590.13,222.36,12.63,7.95,877.44,841.31,199.6,196.63,0.0,1.44,1.53,641.71,647.63,528.13,330.42,191.3,0.0,6.41,119.5,0.8154810617173386,0.23724905207355196,0.48703018398021647
2015-10-31,1759.26,857.17,602.22,235.05,9.47,10.43,902.09,846.48,205.27,202.39,0.0,1.53,1.34,641.21,677.16,545.47,336.47,199.92,0.0,9.08,131.69,0.8055260204383012,0.2424983460920518,0.4872332685333606
