month,PAYEMS
2010-01-31,129802
2010-02-28,129706
2010-03-31,129866
2010-04-30,130120
2010-05-31,130642
2010-06-30,130510
2010-07-31,130415
2010-08-31,130415
2010-09-30,130341
2010-10-31,130620
2010-11-30,130749
2010-12-31,130830
2011-01-31,130837
2011-02-28,131057
2011-03-31,131283
2011-04-30,131597
2011-05-31,131703
2011-06-30,131931
2011-07-31,131992
2011-08-31,132125
2011-09-30,132344
2011-10-31,132553
2011-11-30,132690
2011-12-31,132888
2012-01-31,133246
2012-02-29,133509
2012-03-31,133748
2012-04-30,133825
2012-05-31,133932
2012-06-30,134013
2012-07-31,134157
2012-08-31,134339
2012-09-30,134517
2012-10-31,134669
2012-11-30,134825
2012-12-31,135074
2013-01-31,135257
2013-02-28,135546
2013-03-31,135689
2013-04-30,135873
2013-05-31,136096
2013-06-30,136279
2013-07-31,136391
2013-08-31,136646
2013-09-30,136821
2013-10-31,137041
2013-11-30,137317
2013-12-31,137372
2014-01-31,137561
2014-02-28,137712
2014-03-31,137985
2014-04-30,138298
2014-05-31,138513
2014-06-30,138849
2014-07-31,139072
2014-08-31,139269
2014-09-30,139563
2014-10-31,139798
2014-11-30,140089
2014-12-31,140364
2015-01-31,140568
2015-02-28,140827
2015-03-31,140923
2015-04-30,141196
2015-05-31,141538
2015-06-30,141709
2015-07-31,141991
2015-08-31,142125
2015-09-30,142275
2015-10-31,142579
2015-11-30,142808
2015-12-31,143077
2016-01-31,143210
2016-02-29,143406
2016-03-31,143662
2016-04-30,143854
2016-05-31,143900
2016-06-30,144147
2016-07-31,144520
2016-08-31,144661
2016-09-30,144967
2016-10-31,145065
2016-11-30,145183
2016-12-31,145408
2017-01-31,145628
2017-02-28,145846
2017-03-31,145970
2017-04-30,146175
2017-05-31,146380
2017-06-30,146583
2017-07-31,146772
2017-08-31,146919
2017-09-30,147008
2017-10-31,147149
2017-11-30,147372
2017-12-31,147523
2018-01-31,147660
2018-02-28,148054
2018-03-31,148280
2018-04-30,148420
2018-05-31,148742
2018-06-30,148960
2018-07-31,149020
2018-08-31,149277
2018-09-30,149358
2018-10-31,149527
2018-11-30,149617
2018-12-31,149809
2019-01-31,150060
2019-02-28,150067
2019-03-31,150295
2019-04-30,150591
2019-05-31,150618
2019-06-30,150838
2019-07-31,150937
2019-08-31,151169
2019-09-30,151365
2019-10-31,151460
2019-11-30,151667
2019-12-31,151794
2020-01-31,152031
2020-02-29,152293
2020-03-31,150895
2020-04-30,130426
2020-05-31,133040
2020-06-30,137671
2020-07-31,139255
2020-08-31,140821
2020-09-30,141770
2020-10-31,142460
2020-11-30,142733
2020-12-31,142548
2021-01-31,142863
2021-02-28,143380
2021-03-31,144232
2021-04-30,144587
2021-05-31,145065
2021-06-30,145820
2021-07-31,146762
2021-08-31,147314
2021-09-30,147771
2021-10-31,148572
2021-11-30,149230
2021-12-31,149816
2022-01-31,150006
2022-02-28,150825
2022-03-31,151315
2022-04-30,151623
2022-05-31,151924
2022-06-30,152358
2022-07-31,153072
2022-08-31,153362
2022-09-30,153582
2022-10-31,153939
2022-11-30,154242
2022-12-31,154342
2023-01-31,154776
2023-02-28,155066
2023-03-31,155134
2023-04-30,155375
2023-05-31,155655
2023-06-30,155880
2023-07-31,156043
2023-08-31,156261
2023-09-30,156417
2023-10-31,156576
2023-11-30,156703
2023-12-31,156857
2024-01-31,157032
2024-02-29,157238
2024-03-31,157466
2024-04-30,157530
2024-05-31,157608
2024-06-30,157695
2024-07-31,157748
2024-08-31,157757
2024-09-30,157912
2024-10-31,157945
2024-11-30,158079
2024-12-31,158316
2025-01-31,158268
2025-02-28,158310
2025-03-31,158377
2025-04-30,158485
2025-05-31,158498
2025-06-30,158478
2025-07-31,158542
2025-08-31,158472
2025-09-30,158548
2025-10-31,158408
2025-11-30,158449
2025-12-31,158432
2026-01-31,158592
2026-02-28,158436
2026-03-31,158650
2026-04-30,158798
2026-05-31,158861
2026-06-30,158892
2026-07-31,158913
2026-08-31,159075
