month,vwretd,sprtrn
2010-01-31,-0.037172,-0.036974
2010-02-28,0.034744,0.028514
2010-03-31,0.063668,0.058796
2010-04-30,0.020036,0.014759
2010-05-31,-0.07924,-0.081976
2010-06-30,-0.05078,-0.053882
2010-07-31,0.07036,0.068778
2010-08-31,-0.042863,-0.047449
2010-09-30,0.091628,0.087551
2010-10-31,0.038591,0.036856
2010-11-30,0.005117,-0.00229
2010-12-31,0.067182,0.0653
2011-01-31,0.019183,0.022646
2011-02-28,0.038156,0.031957
2011-03-31,0.003341,-0.001047
2011-04-30,0.028597,0.028495
2011-05-31,-0.014948,-0.013501
2011-06-30,-0.018447,-0.018258
2011-07-31,-0.022534,-0.021474
2011-08-31,-0.057564,-0.056791
2011-09-30,-0.084983,-0.071762
2011-10-31,0.114146,0.107723
2011-11-30,-0.00627,-0.005059
2011-12-31,0.003676,0.008533
2012-01-31,0.054106,0.043583
2012-02-29,0.041225,0.04059
2012-03-31,0.02402,0.031332
2012-04-30,-0.006829,-0.007497
2012-05-31,-0.06559,-0.062651
2012-06-30,0.038151,0.039555
2012-07-31,0.010307,0.012598
2012-08-31,0.026317,0.019763
2012-09-30,0.026513,0.024236
2012-10-31,-0.014055,-0.019789
2012-11-30,0.006217,0.002847
2012-12-31,0.012569,0.007068
2013-01-31,0.054142,0.050428
2013-02-28,0.008282,0.011061
2013-03-31,0.035295,0.035988
2013-04-30,0.014939,0.018086
2013-05-31,0.019128,0.020763
2013-06-30,-0.015072,-0.014999
2013-07-31,0.052658,0.049462
2013-08-31,-0.02575,-0.031298
2013-09-30,0.037497,0.02975
2013-10-31,0.039889,0.044596
2013-11-30,0.024956,0.02805
2013-12-31,0.02614,0.023563
2014-01-31,-0.03002,-0.035583
2014-02-28,0.046198,0.043117
2014-03-31,0.00454,0.006932
2014-04-30,0.001573,0.006201
2014-05-31,0.020254,0.02103
2014-06-30,0.027973,0.019058
2014-07-31,-0.020555,-0.01508
2014-08-31,0.040205,0.037655
2014-09-30,-0.025196,-0.015514
2014-10-31,0.021164,0.023202
