"Forsikrings- og pensionssektorens valutaeksponering og -afdækning efter"
"tid, valuta og værdier"

" ";"Alle valutaer ekskl. DKK";" ";" ";" ";" ";" ";" ";"EUR";" ";" ";" ";" ";" ";" ";"USD";" ";" ";" ";" ";" ";" "
" ";"1. Valutaeksponering i alt";"1.1. Afdækket valutaeksponering";"1.1.1. Afdækket til kroner";"1.1.2. Afdækket til euro";"1.1.3. Afdækket til dollar";"1.1.4. Afdækket til øvrige valutaer";"1.2. Uafdækket valutaeksponering";"1. Valutaeksponering i alt";"1.1. Afdækket valutaeksponering";"1.1.1. Afdækket til kroner";"1.1.2. Afdækket til euro";"1.1.3. Afdækket til dollar";"1.1.4. Afdækket til øvrige valutaer";"1.2. Uafdækket valutaeksponering";"1. Valutaeksponering i alt";"1.1. Afdækket valutaeksponering";"1.1.1. Afdækket til kroner";"1.1.2. Afdækket til euro";"1.1.3. Afdækket til dollar";"1.1.4. Afdækket til øvrige valutaer";"1.2. Uafdækket valutaeksponering"
"2015M01";1733.47;792.54;650.42;133.18;2.42;6.53;940.92;862.72;209.67;205.03;0.00;0.00;4.64;653.04;650.01;495.27;370.46;122.93;0.00;1.89;154.73
"2015M02";1772.45;817.73;665.50;143.52;5.05;3.66;954.72;860.90;220.48;218.04;0.00;2.00;0.44;640.43;685.25;502.28;372.72;126.34;0.00;3.22;182.97
"2015M03";1858.37;858.73;680.16;165.04;10.06;3.48;999.64;910.08;220.72;216.73;0.00;3.53;0.47;689.36;712.35;537.21;386.81;147.39;0.00;3.01;175.13
"2015M04";1823.23;889.74;696.26;176.91;10.08;6.50;933.49;904.37;233.84;229.87;0.00;3.45;0.52;670.52;685.98;544.48;383.61;154.89;0.00;5.98;141.50
"2015M05";1815.16;879.53;674.88;183.57;14.37;6.72;935.63;867.47;230.28;223.93;0.00;5.34;1.01;637.19;709.27;535.17;373.30;156.16;0.00;5.70;174.10
"2015M06";1751.47;882.59;661.07;190.04;22.62;8.87;868.87;811.48;237.06;218.44;0.00;16.04;2.58;574.42;698.47;536.04;365.35;164.40;0.00;6.28;162.43
"2015M07";1745.02;847.41;634.89;191.68;11.59;9.25;897.61;824.22;208.18;201.97;0.00;3.66;2.54;616.05;678.32;531.06;357.60;166.75;0.00;6.70;147.27
"2015M08";1716.56;843.20;594.52;217.09;15.62;15.96;873.36;831.00;201.36;190.39;0.00;1.57;9.40;629.64;656.95;531.62;337.22;187.84;0.00;6.56;125.33
"2015M09";1710.51;833.07;590.13;222.36;12.63;7.95;877.44;841.31;199.60;196.63;0.00;1.44;1.53;641.71;647.63;528.13;330.42;191.30;0.00;6.41;119.50
"2015M10";1759.26;857.17;602.22;235.05;9.47;10.43;902.09;846.48;205.27;202.39;0.00;1.53;1.34;641.21;677.16;545.47;336.47;199.92;0.00;9.08;131.69
"2015M11";1834.41;873.57;604.23;252.03;9.04;8.28;960.84;864.89;204.92;203.18;0.00;0.41;1.32;659.97;718.75;559.00;337.39;214.66;0.00;6.95;159.75
"2015M12";1824.64;906.21;598.21;291.30;8.29;8.42;918.42;887.14;239.39;237.19;0.00;0.42;1.78;647.75;691.71;557.89;304.27;246.98;0.00;6.64;133.82
"2016M01";1857.47;929.99;610.77;301.59;8.98;8.66;927.47;933.73;261.52;259.31;0.00;0.28;1.92;672.22;686.54;554.31;298.07;249.51;0.00;6.73;132.23
"2016M02";1894.66;956.01;616.62;321.17;8.90;9.32;938.65;961.99;284.05;281.40;0.00;0.21;2.44;677.94;691.28;553.83;283.09;263.86;0.00;6.88;137.44
"2016M03";1899.80;961.92;616.68;329.29;7.00;8.96;937.88;975.47;285.57;283.34;0.00;0.28;1.94;689.90;680.09;558.47;281.36;270.09;0.00;7.02;121.63
"2016M04";1920.56;989.23;623.43;345.93;10.18;9.69;931.33;979.42;300.03;298.10;0.00;0.23;1.70;679.39;689.09;565.16;274.27;282.91;0.00;7.99;123.93
"2016M05";1960.23;1017.01;638.34;357.81;10.51;10.35;943.22;985.69;309.74;307.39;0.00;0.43;1.92;675.95;722.77;577.57;275.45;293.68;0.00;8.43;145.20
"2016M06";1972.15;1004.26;633.16;357.61;9.03;4.45;967.89;1032.08;310.49;303.07;0.00;6.34;1.08;721.58;705.66;575.80;275.20;297.22;0.00;3.38;129.86
"2016M07";2018.35;1008.69;637.91;356.79;9.38;4.61;1009.66;1036.11;312.55;305.17;0.00;6.41;0.97;723.56;723.70;576.21;277.51;295.06;0.00;3.63;147.49
"2016M08";2028.26;1040.57;651.00;362.28;15.36;11.92;987.69;1026.01;321.80;313.68;0.00;6.36;1.76;704.21;731.00;589.76;280.57;299.02;0.00;10.17;141.24
"2016M09";2031.92;1043.47;673.48;359.83;4.40;5.76;988.44;1038.59;338.57;336.58;0.00;0.66;1.33;700.02;725.78;581.07;278.39;298.26;0.00;4.43;144.70
"2016M10";2026.93;1071.87;667.66;380.75;10.68;12.79;955.06;1002.59;326.51;323.18;0.00;0.73;2.60;676.09;751.76;614.88;283.58;321.13;0.00;10.18;136.87
"2016M11";2025.23;1061.15;680.72;355.80;11.13;13.50;964.08;959.12;343.61;339.94;0.00;0.77;2.90;615.51;786.41;586.69;279.84;296.24;0.00;10.61;199.72
"2016M12";2036.86;1061.12;669.08;370.96;10.13;10.95;975.74;974.81;338.93;335.31;0.00;0.75;2.86;635.88;790.86;591.57;275.17;308.31;0.00;8.09;199.29
"2017M01";2007.82;1056.36;661.04;375.53;9.19;10.60;951.47;954.71;326.62;324.59;0.00;0.47;1.57;628.09;773.95;596.74;277.10;310.61;0.00;9.03;177.21
"2017M02";2082.72;1056.33;661.07;374.15;8.99;12.12;1026.39;977.47;314.31;312.84;0.00;0.53;0.94;663.16;811.87;610.47;286.87;312.42;0.00;11.18;201.40
"2017M03";2114.29;1101.88;695.80;382.86;9.17;14.05;1012.42;979.59;345.73;342.82;0.00;0.38;2.53;633.86;822.26;620.17;289.22;319.43;0.00;11.52;202.08
"2017M04";2104.91;1079.07;679.29;373.87;10.40;15.51;1025.84;982.95;330.93;326.10;0.00;0.60;4.23;652.02;810.37;608.50;289.05;308.17;0.00;11.28;201.88
"2017M05";2132.24;1116.78;693.98;393.31;11.94;17.55;1015.46;1018.09;348.93;340.54;0.00;1.15;7.24;669.16;799.56;622.33;287.11;324.92;0.00;10.30;177.23
"2017M06";2184.81;1167.16;700.42;426.85;13.04;26.85;1017.64;1041.20;391.31;373.97;0.00;2.31;15.03;649.89;796.27;632.01;271.06;349.13;0.00;11.83;164.26
"2017M07";2176.61;1169.80;707.10;424.41;12.75;25.55;1006.81;1048.46;391.83;376.38;0.00;2.22;13.23;656.63;780.81;628.64;272.22;344.10;0.00;12.32;152.17
