mthcaldt,vwretd,sprtrn
31/01/2000,-0.039622,-0.050904
29/02/2000,0.031760,-0.020108
31/03/2000,0.053499,0.096720
28/04/2000,-0.059519,-0.030796
31/05/2000,-0.038863,-0.021915
30/06/2000,0.051577,0.023934
31/07/2000,-0.017679,-0.016341
31/08/2000,0.074984,0.060699
29/09/2000,-0.051154,-0.053483
31/10/2000,-0.024480,-0.004949
30/11/2000,-0.102365,-0.080069
29/12/2000,0.020450,0.004053
31/01/2001,0.039573,0.034637
28/02/2001,-0.099084,-0.092291
30/03/2001,-0.070408,-0.064205
30/04/2001,0.083834,0.076814
31/05/2001,0.010442,0.005090
29/06/2001,-0.017561,-0.025004
31/07/2001,-0.018284,-0.010773
31/08/2001,-0.058980,-0.064108
28/09/2001,-0.091497,-0.081723
31/10/2001,0.027847,0.018099
30/11/2001,0.078789,0.075176
31/12/2001,0.017854,0.007574
31/01/2002,-0.015966,-0.015574
28/02/2002,-0.021700,-0.020766
28/03/2002,0.044698,0.036739
30/04/2002,-0.049600,-0.061418
31/05/2002,-0.010510,-0.009081
28/06/2002,-0.070259,-0.072465
31/07/2002,-0.081125,-0.078995
30/08/2002,0.007949,0.004881
30/09/2002,-0.099923,-0.110013
31/10/2002,0.074940,0.086436
29/11/2002,0.061281,0.057070
31/12/2002,-0.053335,-0.060333
31/01/2003,-0.023367,-0.027415
28/02/2003,-0.015417,-0.017004
31/03/2003,0.010321,0.008358
30/04/2003,0.082768,0.081044
30/05/2003,0.063471,0.050899
30/06/2003,0.016346,0.011322
31/07/2003,0.023112,0.016224
29/08/2003,0.024965,0.017873
30/09/2003,-0.009120,-0.011944
31/10/2003,0.060361,0.054962
28/11/2003,0.016594,0.007129
31/12/2003,0.045476,0.050766
30/01/2004,0.023042,0.017276
27/02/2004,0.015443,0.012209
31/03/2004,-0.010662,-0.016359
30/04/2004,-0.024222,-0.016791
28/05/2004,0.014068,0.012084
30/06/2004,0.021611,0.017989
30/07/2004,-0.037698,-0.034291
31/08/2004,0.002703,0.002287
30/09/2004,0.020556,0.009364
29/10/2004,0.017806,0.014014
30/11/2004,0.048214,0.038595
31/12/2004,0.035170,0.032458
31/01/2005,-0.026546,-0.025291
28/02/2005,0.022646,0.018903
31/03/2005,-0.016944,-0.019118
29/04/2005,-0.025206,-0.020109
31/05/2005,0.037954,0.029952
30/06/2005,0.011529,-0.000143
29/07/2005,0.043357,0.035968
31/08/2005,-0.005958,-0.011222
30/09/2005,0.010600,0.006949
31/10/2005,-0.020866,-0.017741
30/11/2005,0.040326,0.035186
30/12/2005,0.003458,-0.000952
31/01/2006,0.040072,0.025467
28/02/2006,-0.001639,0.000453
31/03/2006,0.019065,0.011065
28/04/2006,0.013000,0.012187
31/05/2006,-0.031032,-0.030917
30/06/2006,-0.000391,0.000087
31/07/2006,-0.001912,0.005086
31/08/2006,0.025042,0.021274
29/09/2006,0.019425,0.024566
31/10/2006,0.037153,0.031508
30/11/2006,0.023737,0.016467
29/12/2006,0.010857,0.012616
31/01/2007,0.019387,0.014059
28/02/2007,-0.014006,-0.021846
30/03/2007,0.012954,0.009980
30/04/2007,0.039834,0.043291
31/05/2007,0.038953,0.032549
29/06/2007,-0.014747,-0.017816
31/07/2007,-0.031790,-0.031982
31/08/2007,0.011593,0.012864
28/09/2007,0.040822,0.035794
31/10/2007,0.025911,0.014822
30/11/2007,-0.049362,-0.044043
31/12/2007,-0.004405,-0.008629
31/01/2008,-0.062218,-0.061163
29/02/2008,-0.021697,-0.034761
31/03/2008,-0.010444,-0.005960
30/04/2008,0.051199,0.047547
30/05/2008,0.023935,0.010674
